Processed date/time,Lot No.,Measured Value
4/22/2024 6:17,0421-0247-06491,240209-50-0012
4/22/2024 6:17,0421-0247-06492,240209-50-0012
4/22/2024 6:17,0421-0247-06493,240209-50-0012
4/22/2024 6:17,0421-0247-06494,240209-50-0012
4/22/2024 6:17,0421-0247-06495,240209-50-0012
4/22/2024 6:17,0421-0247-06496,240209-50-0012
4/22/2024 6:17,0421-0247-06497,240209-50-0012
4/22/2024 6:17,0421-0247-06498,240209-50-0012
4/22/2024 6:17,0421-0247-06499,240209-50-0012
4/22/2024 6:17,0421-0247-06500,240209-50-0012
4/22/2024 6:17,0421-0247-06501,240209-50-0012
4/22/2024 6:17,0421-0247-06502,240209-50-0012
4/22/2024 6:17,0421-0247-06503,240209-50-0012
4/22/2024 6:17,0421-0247-06504,240209-50-0012
4/22/2024 6:17,0421-0247-06505,240209-50-0012
4/22/2024 6:18,0421-0247-06506,240209-50-0012
4/22/2024 6:18,0421-0247-06507,240209-50-0012
4/22/2024 6:18,0421-0247-06508,240209-50-0012
4/22/2024 6:18,0421-0247-06509,240209-50-0012
4/22/2024 6:18,0421-0247-06510,240209-50-0012
4/22/2024 6:18,0421-0247-06511,240209-50-0012
4/22/2024 6:18,0421-0247-06512,240209-50-0012
4/22/2024 6:18,0421-0247-06513,240209-50-0012
4/22/2024 6:18,0421-0247-06514,240209-50-0012
4/22/2024 6:18,0421-0247-06515,240209-50-0012
4/22/2024 6:18,0421-0247-06516,240209-50-0012
4/22/2024 6:18,0421-0247-06517,240209-50-0012
4/22/2024 6:18,0421-0247-06518,240209-50-0012
4/22/2024 6:18,0421-0247-06519,240209-50-0012
4/22/2024 6:18,0421-0247-06520,240209-50-0012
4/22/2024 6:18,0421-0247-06521,240209-50-0012
4/22/2024 6:18,0421-0247-06522,240209-50-0012
4/22/2024 6:18,0421-0247-06523,240209-50-0012
4/22/2024 6:18,0421-0247-06524,240209-50-0012
4/22/2024 6:18,0421-0247-06525,240209-50-0012
4/22/2024 6:18,0421-0247-06526,240209-50-0012
4/22/2024 6:19,0421-0247-06527,240209-50-0012
4/22/2024 6:19,0421-0247-06528,240209-50-0012
4/22/2024 6:19,0421-0247-06529,240209-50-0012
4/22/2024 6:19,0421-0247-06530,240209-50-0012
4/22/2024 6:19,0421-0247-06531,240209-50-0012
4/22/2024 6:19,0421-0247-06532,240209-50-0012
4/22/2024 6:19,0421-0247-06533,240209-50-0012
4/22/2024 6:19,0421-0247-06534,240209-50-0012
4/22/2024 6:19,0421-0247-06535,240209-50-0012
4/22/2024 6:19,0421-0247-06536,240209-50-0012
4/22/2024 6:19,0421-0247-06537,240209-50-0012
4/22/2024 6:19,0421-0247-06538,240209-50-0012
4/22/2024 6:19,0421-0247-06539,240209-50-0012
4/22/2024 6:19,0421-0247-06540,240209-50-0012
4/22/2024 6:19,0421-0247-06541,240209-50-0012
4/22/2024 6:19,0421-0247-06542,240209-50-0012
4/22/2024 6:19,0421-0247-06543,240209-50-0012
4/22/2024 6:19,0421-0247-06544,240209-50-0012
4/22/2024 6:19,0421-0247-06545,240209-50-0012
4/22/2024 6:20,0421-0247-06546,240209-50-0012
4/22/2024 6:20,0421-0247-06547,240209-50-0012
4/22/2024 6:20,0421-0247-06548,240209-50-0012
4/22/2024 6:20,0421-0247-06549,240209-50-0012
4/22/2024 6:20,0421-0247-06550,240209-50-0012
4/22/2024 6:20,0421-0247-06551,240209-50-0012
4/22/2024 6:20,0421-0247-06552,240209-50-0012
4/22/2024 6:20,0421-0247-06553,240209-50-0012
4/22/2024 6:20,0421-0247-06554,240209-50-0012
4/22/2024 6:20,0421-0247-06555,240209-50-0012
4/22/2024 6:20,0421-0247-06556,240209-50-0012
4/22/2024 6:20,0421-0247-06558,240209-50-0012
4/22/2024 6:20,0421-0247-06559,240209-50-0012
4/22/2024 6:20,0421-0247-06560,240209-50-0012
4/22/2024 6:20,0421-0247-06561,240209-50-0012
4/22/2024 6:20,0421-0247-06562,240209-50-0012
4/22/2024 6:20,0421-0247-06563,240209-50-0012
4/22/2024 6:20,0421-0247-06564,240209-50-0012
4/22/2024 6:20,0421-0247-06565,240209-50-0012
4/22/2024 6:20,0421-0247-06566,240209-50-0012
4/22/2024 6:20,0421-0247-06567,240209-50-0012
4/22/2024 6:21,0421-0247-06568,240209-50-0012
4/22/2024 6:21,0421-0247-06569,240209-50-0012
4/22/2024 6:21,0421-0247-06570,240209-50-0012
4/22/2024 6:21,0421-0247-06571,240209-50-0012
4/22/2024 6:21,0421-0247-06572,240209-50-0012
4/22/2024 6:21,0421-0247-06573,240209-50-0012
4/22/2024 6:21,0421-0247-06574,240209-50-0012
4/22/2024 6:21,0421-0247-06575,240209-50-0012
4/22/2024 6:21,0421-0247-06576,240209-50-0012
4/22/2024 6:21,0421-0247-06577,240209-50-0012
4/22/2024 6:21,0421-0247-06578,240209-50-0012
4/22/2024 6:21,0421-0247-06579,240209-50-0012
4/22/2024 6:21,0421-0247-06580,240209-50-0012
4/22/2024 6:21,0421-0247-06581,240209-50-0012
4/22/2024 6:21,0421-0247-06582,240209-50-0012
4/22/2024 6:21,0421-0247-06583,240209-50-0012
4/22/2024 6:21,0421-0247-06584,240209-50-0012
4/22/2024 6:21,0421-0247-06585,240209-50-0012
4/22/2024 6:21,0421-0247-06586,240209-50-0012
4/22/2024 6:22,0421-0247-06587,240209-50-0012
4/22/2024 6:22,0421-0247-06588,240209-50-0012
4/22/2024 6:22,0421-0247-06589,240209-50-0012
4/22/2024 6:22,0421-0247-06590,240209-50-0012
4/22/2024 6:22,0421-0247-06591,240209-50-0012
4/22/2024 6:22,0422-0247-00007,240209-50-0012
4/22/2024 6:22,0422-0247-00008,240209-50-0012
4/22/2024 6:22,0422-0247-00009,240209-50-0012
4/22/2024 6:22,0422-0247-00010,240209-50-0012
4/22/2024 6:22,0422-0247-00011,240209-50-0012
4/22/2024 6:22,0422-0247-00012,240209-50-0012
4/22/2024 6:22,0422-0247-00013,240209-50-0012
4/22/2024 6:22,0422-0247-00014,240209-50-0012
4/22/2024 6:22,0422-0247-00015,240209-50-0012
4/22/2024 6:22,0422-0247-00016,240209-50-0012
4/22/2024 6:22,0422-0247-00017,240209-50-0012
4/22/2024 6:22,0422-0247-00018,240209-50-0012
4/22/2024 6:22,0422-0247-00019,240209-50-0012
4/22/2024 6:22,0422-0247-00020,240209-50-0012
4/22/2024 6:23,0422-0247-00021,240209-50-0012
4/22/2024 6:23,0422-0247-00022,240209-50-0012
4/22/2024 6:23,0422-0247-00023,240209-50-0012
4/22/2024 6:23,0422-0247-00024,240209-50-0012
4/22/2024 6:23,0422-0247-00025,240209-50-0012
4/22/2024 6:23,0422-0247-00026,240209-50-0012
4/22/2024 6:23,0422-0247-00027,240209-50-0012
4/22/2024 6:23,0422-0247-00028,240208-50-0013
4/22/2024 6:23,0422-0247-00029,240208-50-0013
4/22/2024 6:23,0422-0247-00030,240208-50-0013
4/22/2024 6:23,0422-0247-00031,240208-50-0013
4/22/2024 6:23,0422-0247-00032,240208-50-0013
4/22/2024 6:23,0422-0247-00033,240208-50-0013
4/22/2024 6:23,0422-0247-00034,240208-50-0013
4/22/2024 6:23,0422-0247-00035,240208-50-0013
4/22/2024 6:23,0422-0247-00036,240208-50-0013
4/22/2024 6:23,0422-0247-00037,240208-50-0013
4/22/2024 6:23,0422-0247-00038,240208-50-0013
4/22/2024 6:24,0422-0247-00039,240208-50-0013
4/22/2024 6:24,0422-0247-00040,240208-50-0013
4/22/2024 6:24,0422-0247-00041,240208-50-0013
4/22/2024 6:24,0422-0247-00042,240208-50-0013
4/22/2024 6:24,0422-0247-00043,240208-50-0013
4/22/2024 6:24,0422-0247-00044,240208-50-0013
4/22/2024 6:24,0422-0247-00045,240208-50-0013
4/22/2024 6:24,0422-0247-00046,240208-50-0013
4/22/2024 6:24,0422-0247-00047,240208-50-0013
4/22/2024 6:24,0422-0247-00048,240208-50-0013
4/22/2024 6:24,0422-0247-00049,240208-50-0013
4/22/2024 6:24,0422-0247-00050,240208-50-0013
4/22/2024 6:24,0422-0247-00051,240208-50-0013
4/22/2024 6:24,0422-0247-00052,240208-50-0013
4/22/2024 6:24,0422-0247-00053,240208-50-0013
4/22/2024 6:24,0422-0247-00054,240208-50-0013
4/22/2024 6:24,0422-0247-00055,240208-50-0013
4/22/2024 6:24,0422-0247-00056,240208-50-0013
4/22/2024 6:24,0422-0247-00057,240208-50-0013
4/22/2024 6:24,0422-0247-00058,240208-50-0013
4/22/2024 6:24,0422-0247-00059,240208-50-0013
4/22/2024 6:25,0422-0247-00060,240208-50-0013
4/22/2024 6:25,0422-0247-00061,240208-50-0013
4/22/2024 6:25,0422-0247-00062,240208-50-0013
4/22/2024 6:25,0422-0247-00063,240208-50-0013
4/22/2024 6:25,0422-0247-00064,240208-50-0013
4/22/2024 6:25,0422-0247-00065,240208-50-0013
4/22/2024 6:25,0422-0247-00066,240208-50-0013
4/22/2024 6:25,0422-0247-00067,240208-50-0013
4/22/2024 6:25,0422-0247-00068,240208-50-0013
4/22/2024 6:25,0422-0247-00069,240208-50-0013
4/22/2024 6:25,0422-0247-00070,240208-50-0013
4/22/2024 6:25,0422-0247-00071,240208-50-0013
4/22/2024 6:25,0422-0247-00072,240208-50-0013
4/22/2024 6:25,0422-0247-00073,240208-50-0013
4/22/2024 6:25,0422-0247-00074,240208-50-0013
4/22/2024 6:25,0422-0247-00075,240208-50-0013
4/22/2024 6:25,0422-0247-00076,240208-50-0013
4/22/2024 6:25,0422-0247-00077,240208-50-0013
4/22/2024 6:25,0422-0247-00078,240208-50-0013
4/22/2024 6:25,0422-0247-00079,240208-50-0013
4/22/2024 6:26,0422-0247-00080,240208-50-0013
4/22/2024 6:26,0422-0247-00081,240208-50-0013
4/22/2024 6:26,0422-0247-00082,240208-50-0013
4/22/2024 6:26,0422-0247-00083,240208-50-0013
4/22/2024 6:26,0422-0247-00084,240208-50-0013
4/22/2024 6:26,0422-0247-00085,240208-50-0013
4/22/2024 6:26,0422-0247-00086,240208-50-0013
4/22/2024 6:26,0422-0247-00087,240208-50-0013
4/22/2024 6:26,0422-0247-00088,240208-50-0013
4/22/2024 6:26,0422-0247-00089,240208-50-0013
4/22/2024 6:26,0422-0247-00090,240208-50-0013
4/22/2024 6:26,0422-0247-00091,240208-50-0013
4/22/2024 6:26,0422-0247-00092,240208-50-0013
4/22/2024 6:26,0422-0247-00093,240208-50-0013
4/22/2024 6:26,0422-0247-00094,240208-50-0013
4/22/2024 6:26,0422-0247-00095,240208-50-0013
4/22/2024 6:26,0422-0247-00096,240208-50-0013
4/22/2024 6:26,0422-0247-00097,240208-50-0013
4/22/2024 6:26,0422-0247-00098,240208-50-0013
4/22/2024 6:27,0422-0247-00099,240208-50-0013
4/22/2024 6:27,0422-0247-00100,240208-50-0013
4/22/2024 6:27,0422-0247-00101,240208-50-0013
4/22/2024 6:27,0422-0247-00102,240208-50-0013
4/22/2024 6:27,0422-0247-00103,240208-50-0013
4/22/2024 6:27,0422-0247-00104,240208-50-0013
4/22/2024 6:27,0422-0247-00105,240208-50-0013
4/22/2024 6:27,0422-0247-00106,240208-50-0013
4/22/2024 6:27,0422-0247-00107,240208-50-0013
4/22/2024 6:27,0422-0247-00108,240208-50-0013
4/22/2024 6:27,0422-0247-00109,240208-50-0013
4/22/2024 6:27,0422-0247-00110,240208-50-0013
4/22/2024 6:27,0422-0247-00111,240208-50-0013
4/22/2024 6:27,0422-0247-00112,240208-50-0013
4/22/2024 6:27,0422-0247-00113,240208-50-0013
4/22/2024 6:27,0422-0247-00114,240208-50-0013
4/22/2024 6:27,0422-0247-00115,240208-50-0013
4/22/2024 6:27,0422-0247-00116,240208-50-0013
4/22/2024 6:27,0422-0247-00117,240208-50-0013
4/22/2024 6:27,0422-0247-00118,240208-50-0013
4/22/2024 6:28,0422-0247-00119,240208-50-0013
4/22/2024 6:28,0422-0247-00120,240208-50-0013
4/22/2024 6:28,0422-0247-00121,240208-50-0013
4/22/2024 6:28,0422-0247-00122,240208-50-0013
4/22/2024 6:28,0422-0247-00123,240208-50-0013
4/22/2024 6:28,0422-0247-00124,240208-50-0013
4/22/2024 6:28,0422-0247-00125,240208-50-0013
4/22/2024 6:28,0422-0247-00126,240208-50-0013
4/22/2024 6:28,0422-0247-00127,240208-50-0013
4/22/2024 6:28,0422-0247-00128,240208-50-0013
4/22/2024 6:28,0422-0247-00129,240208-50-0013
4/22/2024 6:28,0422-0247-00130,240208-50-0013
4/22/2024 6:28,0422-0247-00131,240208-50-0013
4/22/2024 6:28,0422-0247-00132,240208-50-0013
4/22/2024 6:28,0422-0247-00133,240208-50-0013
4/22/2024 6:29,0422-0247-00134,240208-50-0013
4/22/2024 6:29,0422-0247-00135,240208-50-0013
4/22/2024 6:29,0422-0247-00136,240208-50-0013
4/22/2024 6:29,0422-0247-00137,240208-50-0013
4/22/2024 6:29,0422-0247-00138,240208-50-0013
4/22/2024 6:29,0422-0247-00139,240208-50-0013
4/22/2024 6:29,0422-0247-00140,240208-50-0013
4/22/2024 6:29,0422-0247-00141,240208-50-0013
4/22/2024 6:29,0422-0247-00142,240208-50-0013
4/22/2024 6:30,0422-0247-00143,240208-50-0013
4/22/2024 6:30,0422-0247-00144,240208-50-0013
4/22/2024 6:30,0422-0247-00145,240208-50-0013
4/22/2024 6:30,0422-0247-00146,240208-50-0013
4/22/2024 6:30,0422-0247-00147,240208-50-0013
4/22/2024 6:30,0422-0247-00148,240208-50-0013
4/22/2024 6:30,0422-0247-00149,240208-50-0013
4/22/2024 6:30,0422-0247-00150,240208-50-0013
4/22/2024 6:30,0422-0247-00151,240208-50-0013
4/22/2024 6:30,0422-0247-00152,240208-50-0013
4/22/2024 6:30,0422-0247-00153,240208-50-0013
4/22/2024 6:30,0422-0247-00154,240208-50-0013
4/22/2024 6:30,0422-0247-00155,240208-50-0013
4/22/2024 6:30,0422-0247-00156,240208-50-0013
4/22/2024 6:30,0422-0247-00157,240208-50-0013
4/22/2024 6:30,0422-0247-00158,240208-50-0013
4/22/2024 6:30,0422-0247-00159,240208-50-0013
4/22/2024 6:31,0422-0247-00160,240208-50-0013
4/22/2024 6:31,0422-0247-00161,240208-50-0013
4/22/2024 6:31,0422-0247-00162,240208-50-0013
4/22/2024 6:31,0422-0247-00163,240208-50-0013
4/22/2024 6:31,0422-0247-00164,240208-50-0013
4/22/2024 6:31,0422-0247-00165,240208-50-0013
4/22/2024 6:31,0422-0247-00166,240208-50-0013
4/22/2024 6:31,0422-0247-00167,240208-50-0013
4/22/2024 6:31,0422-0247-00168,240208-50-0013
4/22/2024 6:31,0422-0247-00169,240208-50-0013
4/22/2024 6:31,0422-0247-00170,240208-50-0013
4/22/2024 6:31,0422-0247-00171,240208-50-0013
4/22/2024 6:31,0422-0247-00172,240208-50-0013
4/22/2024 6:31,0422-0247-00173,240208-50-0013
4/22/2024 6:31,0422-0247-00174,240208-50-0013
4/22/2024 6:31,0422-0247-00175,240208-50-0013
4/22/2024 6:31,0422-0247-00176,240208-50-0013
4/22/2024 6:31,0422-0247-00177,240208-50-0013
4/22/2024 6:31,0422-0247-00178,240208-50-0013
4/22/2024 6:32,0422-0247-00179,240208-50-0013
4/22/2024 6:32,0422-0247-00180,240208-50-0013
4/22/2024 6:32,0422-0247-00181,240208-50-0013
4/22/2024 6:32,0422-0247-00182,240208-50-0013
4/22/2024 6:32,0422-0247-00183,240208-50-0013
4/22/2024 6:32,0422-0247-00184,240208-50-0013
4/22/2024 6:32,0422-0247-00185,240208-50-0013
4/22/2024 6:32,0422-0247-00186,240208-50-0013
4/22/2024 6:32,0422-0247-00187,240208-50-0013
4/22/2024 6:32,0422-0247-00188,240208-50-0013
4/22/2024 6:32,0422-0247-00189,240208-50-0013
4/22/2024 6:32,0422-0247-00190,240208-50-0013
4/22/2024 6:32,0422-0247-00191,240208-50-0013
4/22/2024 6:32,0422-0247-00192,240208-50-0013
4/22/2024 6:32,0422-0247-00193,240208-50-0013
4/22/2024 6:32,0422-0247-00194,240208-50-0013
4/22/2024 6:32,0422-0247-00195,240208-50-0013
4/22/2024 6:32,0422-0247-00196,240208-50-0013
4/22/2024 6:32,0422-0247-00197,240208-50-0013
4/22/2024 6:32,0422-0247-00198,240208-50-0013
4/22/2024 6:33,0422-0247-00199,240208-50-0013
4/22/2024 6:33,0422-0247-00200,240208-50-0013
4/22/2024 6:33,0422-0247-00201,240208-50-0013
4/22/2024 6:33,0422-0247-00202,240208-50-0013
4/22/2024 6:33,0422-0247-00203,240208-50-0013
4/22/2024 6:33,0422-0247-00204,240208-50-0013
4/22/2024 6:33,0422-0247-00205,240208-50-0013
4/22/2024 6:33,0422-0247-00206,240208-50-0013
4/22/2024 6:33,0422-0247-00207,240208-50-0013
4/22/2024 6:33,0422-0247-00208,240208-50-0013
4/22/2024 6:33,0422-0247-00209,240208-50-0013
4/22/2024 6:33,0422-0247-00210,240208-50-0013
4/22/2024 6:33,0422-0247-00211,240208-50-0013
4/22/2024 6:33,0422-0247-00212,240208-50-0013
4/22/2024 6:33,0422-0247-00213,240208-50-0013
4/22/2024 6:33,0422-0247-00214,240208-50-0013
4/22/2024 6:33,0422-0247-00215,240208-50-0013
4/22/2024 6:33,0422-0247-00216,240208-50-0013
4/22/2024 6:33,0422-0247-00217,240208-50-0013
4/22/2024 6:33,0422-0247-00218,240208-50-0013
4/22/2024 6:34,0422-0247-00219,240208-50-0013
4/22/2024 6:34,0422-0247-00220,240208-50-0013
4/22/2024 6:34,0422-0247-00221,240208-50-0013
4/22/2024 6:34,0422-0247-00222,240208-50-0013
4/22/2024 6:34,0422-0247-00223,240208-50-0013
4/22/2024 6:34,0422-0247-00224,240208-50-0013
4/22/2024 6:34,0422-0247-00225,240208-50-0013
4/22/2024 6:34,0422-0247-00226,240208-50-0013
4/22/2024 6:34,0422-0247-00227,240208-50-0013
4/22/2024 6:34,0422-0247-00228,240208-50-0013
4/22/2024 6:34,0422-0247-00229,240208-50-0013
4/22/2024 6:34,0422-0247-00230,240208-50-0013
4/22/2024 6:34,0422-0247-00231,240208-50-0013
4/22/2024 6:34,0422-0247-00232,240208-50-0013
4/22/2024 6:34,0422-0247-00233,240208-50-0013
4/22/2024 6:34,0422-0247-00234,240208-50-0013
4/22/2024 6:34,0422-0247-00235,240208-50-0013
4/22/2024 6:34,0422-0247-00236,240208-50-0013
4/22/2024 6:34,0422-0247-00237,240208-50-0013
4/22/2024 6:35,0422-0247-00238,240208-50-0013
4/22/2024 6:35,0422-0247-00239,240208-50-0013
4/22/2024 6:35,0422-0247-00240,240208-50-0013
4/22/2024 6:35,0422-0247-00241,240208-50-0013
4/22/2024 6:35,0422-0247-00242,240208-50-0013
4/22/2024 6:35,0422-0247-00243,240208-50-0013
4/22/2024 6:35,0422-0247-00244,240208-50-0013
4/22/2024 6:35,0422-0247-00245,240208-50-0013
4/22/2024 6:35,0422-0247-00246,240208-50-0013
4/22/2024 6:35,0422-0247-00247,240208-50-0013
4/22/2024 6:35,0422-0247-00248,240208-50-0013
4/22/2024 6:35,0422-0247-00249,240208-50-0013
4/22/2024 6:35,0422-0247-00250,240208-50-0013
4/22/2024 6:35,0422-0247-00251,240208-50-0013
4/22/2024 6:35,0422-0247-00252,240208-50-0013
4/22/2024 6:35,0422-0247-00253,240208-50-0013
4/22/2024 6:35,0422-0247-00254,240208-50-0013
4/22/2024 6:35,0422-0247-00255,240208-50-0013
4/22/2024 6:36,0422-0247-00256,240208-50-0013
4/22/2024 6:36,0422-0247-00257,240208-50-0013
4/22/2024 6:36,0422-0247-00258,240208-50-0013
4/22/2024 6:36,0422-0247-00259,240208-50-0013
4/22/2024 6:36,0422-0247-00260,240208-50-0013
4/22/2024 6:36,0422-0247-00261,240208-50-0013
4/22/2024 6:36,0422-0247-00262,240208-50-0013
4/22/2024 6:36,0422-0247-00263,240208-50-0013
4/22/2024 6:36,0422-0247-00264,240208-50-0013
4/22/2024 6:36,0422-0247-00265,240208-50-0013
4/22/2024 6:36,0422-0247-00266,240208-50-0013
4/22/2024 6:36,0422-0247-00267,240208-50-0013
4/22/2024 6:36,0422-0247-00268,240208-50-0013
4/22/2024 6:36,0422-0247-00269,240208-50-0013
4/22/2024 6:36,0422-0247-00270,240208-50-0013
4/22/2024 6:36,0422-0247-00271,240208-50-0013
4/22/2024 6:36,0422-0247-00272,240208-50-0013
4/22/2024 6:37,0422-0247-00273,240208-50-0013
4/22/2024 6:37,0422-0247-00274,240208-50-0013
4/22/2024 6:37,0422-0247-00275,240208-50-0013
4/22/2024 6:37,0422-0247-00276,240208-50-0013
4/22/2024 6:37,0422-0247-00277,240208-50-0013
4/22/2024 6:37,0422-0247-00278,240208-50-0013
4/22/2024 6:37,0422-0247-00279,240208-50-0013
4/22/2024 6:37,0422-0247-00280,240208-50-0013
4/22/2024 6:37,0422-0247-00281,240208-50-0013
4/22/2024 6:37,0422-0247-00282,240208-50-0013
4/22/2024 6:37,0422-0247-00283,240208-50-0013
4/22/2024 6:37,0422-0247-00284,240208-50-0013
4/22/2024 6:37,0422-0247-00285,240208-50-0013
4/22/2024 6:37,0422-0247-00286,240208-50-0013
4/22/2024 6:37,0422-0247-00287,240208-50-0013
4/22/2024 6:37,0422-0247-00288,240208-50-0013
4/22/2024 6:37,0422-0247-00289,240208-50-0013
4/22/2024 6:37,0422-0247-00290,240208-50-0013
4/22/2024 6:37,0422-0247-00291,240208-50-0013
4/22/2024 6:37,0422-0247-00292,240208-50-0013
4/22/2024 6:38,0422-0247-00293,240208-50-0013
4/22/2024 6:38,0422-0247-00294,240208-50-0013
4/22/2024 6:38,0422-0247-00295,240208-50-0013
4/22/2024 6:38,0422-0247-00296,240208-50-0013
4/22/2024 6:38,0422-0247-00297,240208-50-0013
4/22/2024 6:38,0422-0247-00298,240208-50-0013
4/22/2024 6:38,0422-0247-00299,240208-50-0013
4/22/2024 6:38,0422-0247-00300,240208-50-0013
4/22/2024 6:38,0422-0247-00301,240208-50-0013
4/22/2024 6:38,0422-0247-00302,240208-50-0013
4/22/2024 6:38,0422-0247-00303,240208-50-0013
4/22/2024 6:38,0422-0247-00304,240208-50-0013
4/22/2024 6:38,0422-0247-00305,240208-50-0013
4/22/2024 6:38,0422-0247-00306,240208-50-0013
